Number of roles,Average of 3 runs
10,0.0025796013333471515
20,0.008240511333326594
30,0.010141500666681699
40,0.012047559333325353
50,0.015201367666729007
60,0.01595033699997354
70,0.018908641333458338
80,0.02140651466675081
90,0.025009928333323234
100,0.026912345000103716
