Number of roles,Average of 3 runs
10,1.2681177790024474
20,2.6742257806618
30,3.9407239179951525
40,5.769863030994505
50,7.1148186650049565
60,8.527255083337272
70,10.33081169166447
80,12.003070124002988
90,13.60968914333595
100,16.014458368668176
